iter	Passed	Remaining
0	5	2227
1	10	2107
2	15	2065
3	21	2115
4	27	2169
5	33	2223
6	38	2184
7	43	2148
8	48	2123
9	53	2100
10	58	2078
11	63	2057
12	68	2041
13	73	2024
14	78	2012
15	84	2035
16	90	2030
17	96	2047
18	102	2055
19	107	2040
20	112	2027
21	117	2014
22	122	2007
23	127	2000
24	132	1986
25	137	1980
26	143	1976
27	147	1963
28	152	1952
29	158	1954
30	163	1945
31	168	1936
32	172	1923
33	178	1916
34	182	1904
35	188	1901
36	192	1892
37	197	1883
38	202	1875
39	207	1864
40	212	1857
41	217	1851
42	222	1848
43	227	1836
44	232	1830
45	237	1827
46	242	1821
47	247	1814
48	252	1807
49	257	1803
50	263	1802
51	268	1794
52	273	1787
53	277	1778
54	282	1771
55	287	1763
56	292	1757
57	297	1751
58	301	1744
59	307	1739
60	312	1734
61	317	1728
62	327	1750
63	332	1747
64	337	1741
65	346	1754
66	352	1751
67	357	1746
68	362	1739
69	367	1732
70	372	1725
71	377	1718
72	382	1711
73	387	1705
74	392	1701
75	397	1693
76	402	1688
77	408	1685
78	413	1680
79	418	1672
80	423	1666
81	428	1660
82	433	1654
83	438	1649
84	442	1641
85	447	1634
86	452	1629
87	457	1622
88	462	1617
89	468	1613
90	473	1606
91	477	1598
92	482	1593
93	487	1588
94	492	1581
95	497	1575
96	502	1569
97	507	1563
98	512	1557
99	516	1550
100	521	1544
101	527	1539
102	531	1533
103	536	1527
104	541	1520
105	546	1514
106	552	1512
107	556	1505
108	561	1499
109	566	1493
110	571	1488
111	577	1484
112	582	1478
113	587	1473
114	591	1466
115	596	1459
116	600	1453
117	606	1450
118	611	1444
119	616	1438
120	621	1432
121	626	1427
122	630	1420
123	636	1416
124	641	1410
125	645	1403
126	650	1397
127	655	1392
128	659	1386
129	665	1381
130	669	1375
131	674	1370
132	681	1367
133	686	1363
134	693	1360
135	699	1357
136	703	1351
137	708	1345
138	715	1342
139	720	1338
140	725	1332
141	730	1327
142	735	1321
143	740	1316
144	745	1310
145	749	1304
146	754	1298
147	759	1292
148	763	1286
149	769	1281
150	773	1275
151	778	1270
152	783	1264
153	788	1259
154	793	1253
155	798	1248
156	803	1242
157	807	1237
158	811	1230
159	816	1224
160	821	1218
161	826	1213
162	831	1208
163	836	1203
164	841	1198
165	845	1192
166	850	1186
167	855	1181
168	860	1176
169	865	1170
170	870	1165
171	874	1159
172	879	1153
173	884	1148
174	889	1143
175	894	1138
176	899	1133
177	903	1127
178	909	1123
179	914	1117
180	919	1112
181	925	1108
182	930	1103
183	934	1097
184	940	1092
185	944	1087
186	949	1081
187	954	1076
188	960	1071
189	964	1066
190	969	1060
191	973	1054
192	977	1048
193	983	1043
194	988	1038
195	992	1033
196	997	1027
197	1002	1023
198	1007	1017
199	1012	1012
200	1017	1007
201	1022	1001
202	1026	996
203	1033	992
204	1039	989
205	1044	984
206	1049	978
207	1054	972
208	1058	967
209	1063	962
210	1070	958
211	1077	955
212	1082	950
213	1087	945
214	1092	940
215	1098	935
216	1102	930
217	1107	924
218	1112	919
219	1117	914
220	1122	908
221	1127	903
222	1132	899
223	1138	894
224	1143	889
225	1147	883
226	1153	878
227	1158	873
228	1162	868
229	1167	863
230	1173	858
231	1177	852
232	1182	847
233	1187	842
234	1191	836
235	1198	832
236	1203	827
237	1208	822
238	1213	817
239	1217	811
240	1222	806
241	1227	801
242	1231	795
243	1236	790
244	1241	785
245	1245	779
246	1250	774
247	1254	769
248	1260	764
249	1264	758
250	1269	753
251	1274	748
252	1279	743
253	1284	738
254	1288	732
255	1293	727
256	1298	722
257	1303	717
258	1308	712
259	1313	707
260	1318	702
261	1323	697
262	1327	691
263	1332	686
264	1337	681
265	1342	676
266	1346	670
267	1351	665
268	1356	660
269	1360	655
270	1365	649
271	1370	644
272	1374	639
273	1379	634
274	1384	629
275	1388	623
276	1393	618
277	1399	613
278	1403	608
279	1408	603
280	1413	598
281	1417	593
282	1422	588
283	1428	583
284	1432	578
285	1437	572
286	1442	567
287	1446	562
288	1451	557
289	1455	552
290	1460	546
291	1465	542
292	1470	536
293	1475	531
294	1480	526
295	1484	521
296	1489	516
297	1493	511
298	1498	506
299	1503	501
300	1507	495
301	1512	490
302	1516	485
303	1521	480
304	1526	475
305	1531	470
306	1536	465
307	1541	460
308	1546	455
309	1550	450
310	1555	445
311	1559	439
312	1564	434
313	1569	429
314	1574	424
315	1578	419
316	1584	414
317	1589	409
318	1594	404
319	1599	399
320	1604	394
321	1609	389
322	1614	384
323	1618	379
324	1623	374
325	1628	369
326	1633	364
327	1637	359
328	1642	354
329	1646	349
330	1651	344
331	1655	339
332	1661	334
333	1666	329
334	1671	324
335	1675	319
336	1680	314
337	1684	309
338	1689	303
339	1693	298
340	1698	293
341	1703	288
342	1708	283
343	1713	278
344	1717	273
345	1723	268
346	1728	263
347	1733	258
348	1738	254
349	1743	249
350	1748	244
351	1753	239
352	1757	234
353	1762	228
354	1767	224
355	1771	219
356	1777	214
357	1782	209
358	1787	204
359	1792	199
360	1796	194
361	1801	189
362	1806	184
363	1811	179
364	1816	174
365	1820	169
366	1826	164
367	1830	159
368	1835	154
369	1839	149
370	1844	144
371	1849	139
372	1854	134
373	1859	129
374	1864	124
375	1869	119
376	1874	114
377	1879	109
378	1884	104
379	1888	99
380	1893	94
381	1898	89
382	1903	84
383	1908	79
384	1913	74
385	1919	69
386	1923	64
387	1929	59
388	1934	54
389	1939	49
390	1944	44
391	1948	39
392	1952	34
393	1957	29
394	1961	24
395	1966	19
396	1971	14
397	1976	9
398	1980	4
399	1985	0
