iter	Passed	Remaining
0	24	17133
1	48	16895
2	77	18030
3	96	16744
4	114	15897
5	132	15367
6	150	14947
7	169	14635
8	187	14368
9	205	14149
10	222	13967
11	241	13844
12	259	13732
13	279	13689
14	297	13579
15	315	13505
16	333	13409
17	352	13370
18	371	13311
19	389	13237
20	408	13204
21	426	13158
22	439	12926
23	457	12875
24	477	12892
25	495	12849
26	513	12805
27	531	12759
28	549	12712
29	567	12669
30	584	12624
31	603	12591
32	622	12589
33	643	12612
34	662	12590
35	681	12572
36	699	12529
37	716	12489
38	734	12453
39	752	12421
40	771	12398
41	790	12384
42	808	12359
43	826	12329
44	844	12297
45	862	12263
46	880	12232
47	887	12053
48	904	12018
49	925	12036
50	943	12008
51	961	11982
52	980	11967
53	998	11946
54	1016	11923
55	1035	11906
56	1053	11882
57	1074	11893
58	1100	11954
59	1123	11986
60	1146	12014
61	1170	12044
62	1191	12049
63	1211	12041
64	1231	12026
65	1249	12003
66	1267	11976
67	1286	11958
68	1305	11939
69	1323	11912
70	1329	11780
71	1346	11740
72	1366	11741
73	1389	11756
74	1411	11763
75	1432	11764
76	1452	11753
77	1472	11740
78	1492	11734
79	1510	11709
80	1529	11687
81	1549	11677
82	1570	11675
83	1588	11651
84	1606	11624
85	1629	11630
86	1648	11616
87	1667	11593
88	1684	11566
89	1703	11546
90	1722	11524
91	1740	11503
92	1759	11482
93	1777	11458
94	1796	11442
95	1816	11425
96	1836	11413
97	1857	11412
98	1879	11407
99	1900	11404
100	1910	11332
101	1929	11313
102	1948	11295
103	1967	11275
104	1986	11255
105	2004	11231
106	2023	11213
107	2041	11189
108	2062	11183
109	2080	11158
110	2098	11136
111	2117	11117
112	2135	11094
113	2153	11069
114	2171	11048
115	2190	11026
116	2208	11004
117	2226	10981
118	2231	10897
119	2248	10867
120	2268	10853
121	2286	10833
122	2305	10814
123	2323	10794
124	2341	10771
125	2359	10750
126	2379	10736
127	2397	10715
128	2416	10695
129	2434	10674
130	2452	10652
131	2469	10628
132	2487	10606
133	2510	10603
134	2528	10581
135	2547	10564
136	2565	10542
137	2583	10521
138	2601	10499
139	2623	10493
140	2642	10474
141	2660	10455
142	2679	10436
143	2698	10417
144	2715	10395
145	2734	10374
146	2752	10355
147	2772	10340
148	2794	10332
149	2814	10318
150	2832	10299
151	2850	10277
152	2869	10257
153	2887	10236
154	2906	10219
155	2925	10200
156	2942	10176
157	2960	10155
158	2984	10153
159	3005	10145
